date,value,reporter,partner
2022-01-01,658456586865,Italy,"All Countries, excluding the IO"
2021-01-01,1196853585,Rwanda,"All Countries, excluding the IO"
2022-01-01,1562504485,Rwanda,"All Countries, excluding the IO"
2021-01-01,21876645698,Croatia,"All Countries, excluding the IO"
2022-01-01,25465708266,Croatia,"All Countries, excluding the IO"
2021-01-01,65826467477,Ukraine,"All Countries, excluding the IO"
2022-01-01,44443200593,Ukraine,"All Countries, excluding the IO"
2021-01-01,1035710213531,"Middle East, North Africa, Afghanistan, and Pakistan","All Countries, excluding the IO"
2022-01-01,1461064263388,"Middle East, North Africa, Afghanistan, and Pakistan","All Countries, excluding the IO"
2021-01-01,47192441558,Greece,"All Countries, excluding the IO"
2022-01-01,57523214936,Greece,"All Countries, excluding the IO"
2021-01-01,2683177271,"Venezuela, Bolivarian Republic","All Countries, excluding the IO"
2022-01-01,3940184868,"Venezuela, Bolivarian Republic","All Countries, excluding the IO"
2021-01-01,202799937024,Austria,"All Countries, excluding the IO"
2022-01-01,211920100617,Austria,"All Countries, excluding the IO"
2021-01-01,17149312117.000002,"Iran, Islamic Republic of","All Countries, excluding the IO"
2022-01-01,18603110371,"Iran, Islamic Republic of","All Countries, excluding the IO"
2021-01-01,7697897486529,Export earnings: nonfuel,"All Countries, excluding the IO"
2022-01-01,8488336333658,Export earnings: nonfuel,"All Countries, excluding the IO"
2021-01-01,81378015,Yemen,"All Countries, excluding the IO"
2022-01-01,97345831,Yemen,"All Countries, excluding the IO"
2021-01-01,4243840390.0000005,Syrian Arab Republic,"All Countries, excluding the IO"
2022-01-01,4601810487,Syrian Arab Republic,"All Countries, excluding the IO"
2021-01-01,225214458038,Türkiye,"All Countries, excluding the IO"
2022-01-01,254169747663,Türkiye,"All Countries, excluding the IO"
2021-01-01,21398258090,Estonia,"All Countries, excluding the IO"
2022-01-01,22380480761,Estonia,"All Countries, excluding the IO"
2021-01-01,413341003,Sierra Leone,"All Countries, excluding the IO"
2022-01-01,490566692,Sierra Leone,"All Countries, excluding the IO"
2021-01-01,122354020925,South Africa,"All Countries, excluding the IO"
2022-01-01,123387268690,South Africa,"All Countries, excluding the IO"
2021-01-01,457406963375,Singapore,"All Countries, excluding the IO"
2022-01-01,516016208516,Singapore,"All Countries, excluding the IO"
2021-01-01,74619469933,Philippines,"All Countries, excluding the IO"
2022-01-01,80742656602,Philippines,"All Countries, excluding the IO"
2021-01-01,13635511752,Guatemala,"All Countries, excluding the IO"
2022-01-01,15683554938,Guatemala,"All Countries, excluding the IO"
2021-01-01,59817570568,Kazakhstan,"All Countries, excluding the IO"
2022-01-01,82954643386,Kazakhstan,"All Countries, excluding the IO"
2021-01-01,5201138542,Honduras,"All Countries, excluding the IO"
2022-01-01,6109499655,Honduras,"All Countries, excluding the IO"
2021-01-01,401742997208,Sub-Saharan Africa,"All Countries, excluding the IO"
2022-01-01,455615714240,Sub-Saharan Africa,"All Countries, excluding the IO"
2021-01-01,2305095622,Sudan,"All Countries, excluding the IO"
2022-01-01,3388964120,Sudan,"All Countries, excluding the IO"
2021-01-01,281645257207,Brazil,"All Countries, excluding the IO"
2022-01-01,334463079195,Brazil,"All Countries, excluding the IO"
2021-01-01,206956350,Guinea-Bissau,"All Countries, excluding the IO"
2022-01-01,250783334,Guinea-Bissau,"All Countries, excluding the IO"
2021-01-01,4666448651,Mali,"All Countries, excluding the IO"
2022-01-01,4542015316,Mali,"All Countries, excluding the IO"
2021-01-01,41153626063,Bulgaria,"All Countries, excluding the IO"
2022-01-01,49915072364,Bulgaria,"All Countries, excluding the IO"
2021-01-01,87165659554,Qatar,"All Countries, excluding the IO"
2022-01-01,130920851816,Qatar,"All Countries, excluding the IO"
2021-01-01,26699155442,Ecuador,"All Countries, excluding the IO"
2022-01-01,32626881665,Ecuador,"All Countries, excluding the IO"
2021-01-01,16794207402,Luxembourg,"All Countries, excluding the IO"
2022-01-01,17293488034,Luxembourg,"All Countries, excluding the IO"
2021-01-01,1627554565772,Export earnings: fuel,"All Countries, excluding the IO"
2022-01-01,2219112105397,Export earnings: fuel,"All Countries, excluding the IO"
2021-01-01,172992465489,Norway,"All Countries, excluding the IO"
2022-01-01,277041256599,Norway,"All Countries, excluding the IO"
2021-01-01,45633000,Vanuatu,"All Countries, excluding the IO"
2022-01-01,50746095,Vanuatu,"All Countries, excluding the IO"
2021-01-01,571441803027,Africa,"All Countries, excluding the IO"
2022-01-01,675650938058,Africa,"All Countries, excluding the IO"
2021-01-01,275527643,Barbados,"All Countries, excluding the IO"
2022-01-01,320067196,Barbados,"All Countries, excluding the IO"
2021-01-01,19471536170,Cambodia,"All Countries, excluding the IO"
2022-01-01,22606585803,Cambodia,"All Countries, excluding the IO"
2021-01-01,1636499583636,Germany,"All Countries, excluding the IO"
2022-01-01,1675542637284,Germany,"All Countries, excluding the IO"
2021-01-01,9325452052301,Emerging and Developing Countries,"All Countries, excluding the IO"
2022-01-01,10707448439055,Emerging and Developing Countries,"All Countries, excluding the IO"
2021-01-01,27678875989,"Congo, the Democratic Republic of the","All Countries, excluding the IO"
2022-01-01,28043220248,"Congo, the Democratic Republic of the","All Countries, excluding the IO"
2021-01-01,838490707640,Netherlands,"All Countries, excluding the IO"
2022-01-01,962446383027,Netherlands,"All Countries, excluding the IO"
2021-01-01,892353860,Fiji,"All Countries, excluding the IO"
2022-01-01,1049353865,Fiji,"All Countries, excluding the IO"
2021-01-01,383898692,Somalia,"All Countries, excluding the IO"
2022-01-01,533148001,Somalia,"All Countries, excluding the IO"
2021-01-01,12450830596,Dominican Republic,"All Countries, excluding the IO"
2022-01-01,13504327168,Dominican Republic,"All Countries, excluding the IO"
2021-01-01,15157860195,Myanmar,"All Countries, excluding the IO"
2022-01-01,20549849248,Myanmar,"All Countries, excluding the IO"
2021-01-01,8377046966,Trinidad and Tobago,"All Countries, excluding the IO"
2022-01-01,13286111383,Trinidad and Tobago,"All Countries, excluding the IO"
2021-01-01,5040406639,Burkina Faso,"All Countries, excluding the IO"
2022-01-01,4542731249,Burkina Faso,"All Countries, excluding the IO"
2021-01-01,3015987201,Armenia,"All Countries, excluding the IO"
2022-01-01,5360069395,Armenia,"All Countries, excluding the IO"
