date,value,reporter,partner
2017-01-01,36843111033,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-02-01,38045334196,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-03-01,44921740252,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-04-01,39247271311,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-05-01,42472351752,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-06-01,43013379740,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-07-01,38038084884,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-08-01,43289454706,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-09-01,45095956318,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-10-01,45919525211,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-11-01,49228836568,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-12-01,53274025719,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-01-01,48079783331,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-02-01,46636200210,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-03-01,52698785463,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-04-01,52956610917,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-05-01,52491987667,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-06-01,52762438735,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-07-01,50861654930,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-08-01,54653705490,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-09-01,55342935253,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-10-01,58390794142,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-11-01,57704646391,Community of Independent States (CIS),"All Countries, excluding the IO"
2018-12-01,59824496092,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-01-01,48392871604,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-02-01,50823892655,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-03-01,51620323033,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-04-01,52860157470,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-05-01,49067221918,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-06-01,48824359056,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-07-01,51488994328,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-08-01,50689664237,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-09-01,51869012730,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-10-01,53250874558,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-11-01,52238415183,Community of Independent States (CIS),"All Countries, excluding the IO"
2019-12-01,55482566632,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-01-01,45809596557,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-02-01,43392859925,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-03-01,44916539240,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-04-01,39787563448,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-05-01,33622134238,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-06-01,37068770976,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-07-01,38375450001,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-08-01,39439328522,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-09-01,44775154555,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-10-01,45206419670,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-11-01,44806763107,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-12-01,50414926774,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-01-01,40224984804,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-02-01,44804823489,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-03-01,53076062929,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-04-01,55800953691,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-05-01,53695197978,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-06-01,61255938255,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-07-01,62447928424,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-08-01,62496785529,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-09-01,63469356701,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-10-01,68139854678,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-11-01,72453211053,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-12-01,79023502285,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-01-01,66794590990,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-02-01,68169287451,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-03-01,65439191637,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-04-01,63819317176,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-05-01,58833147707,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-06-01,60863243298,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-07-01,56168990853,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-08-01,57309373505,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-09-01,56576054226,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-10-01,54252377341,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-11-01,50335818250,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-12-01,49706934520,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-01-01,47565436224,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-02-01,43206710260,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-03-01,44663679338,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-04-01,45251210866,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-05-01,46628438235,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-06-01,37129855193,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-07-01,40799147990,Community of Independent States (CIS),"All Countries, excluding the IO"
2017-01-01,10479827,Burundi,"All Countries, excluding the IO"
2017-02-01,9165796,Burundi,"All Countries, excluding the IO"
2017-03-01,8758650,Burundi,"All Countries, excluding the IO"
2017-04-01,7544634,Burundi,"All Countries, excluding the IO"
2017-05-01,9928627,Burundi,"All Countries, excluding the IO"
2017-06-01,9443029,Burundi,"All Countries, excluding the IO"
2017-07-01,12989848,Burundi,"All Countries, excluding the IO"
2017-08-01,12350508,Burundi,"All Countries, excluding the IO"
2017-09-01,14635770,Burundi,"All Countries, excluding the IO"
2017-10-01,37691385,Burundi,"All Countries, excluding the IO"
2017-11-01,14165913,Burundi,"All Countries, excluding the IO"
2017-12-01,16368981.000000002,Burundi,"All Countries, excluding the IO"
2018-01-01,16161252.000000002,Burundi,"All Countries, excluding the IO"
2018-02-01,31354449,Burundi,"All Countries, excluding the IO"
2018-03-01,11872779,Burundi,"All Countries, excluding the IO"
2018-04-01,11049723,Burundi,"All Countries, excluding the IO"
2018-05-01,9192379,Burundi,"All Countries, excluding the IO"
2018-06-01,10747100,Burundi,"All Countries, excluding the IO"
2018-07-01,12070751,Burundi,"All Countries, excluding the IO"
2018-08-01,12108498,Burundi,"All Countries, excluding the IO"
2018-09-01,9725172,Burundi,"All Countries, excluding the IO"
2018-10-01,20757602,Burundi,"All Countries, excluding the IO"
2018-11-01,11474032,Burundi,"All Countries, excluding the IO"
