"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2023","38,691.40","38,625.96","38,931.76","38,422.34","","0.17%"
"09/04/2023","38,625.96","38,946.44","39,074.72","38,598.33","","-0.79%"
"09/01/2023","38,933.72","38,542.94","38,936.52","38,517.81","","1.01%"
"08/31/2023","38,542.94","38,121.01","38,705.46","38,077.57","","1.11%"
"08/30/2023","38,121.01","37,847.82","38,503.95","37,605.71","","0.72%"
"08/29/2023","37,847.82","37,880.94","37,980.45","37,733.73","","-0.09%"
"08/28/2023","37,880.94","37,379.87","38,127.30","37,379.87","","1.34%"
"08/25/2023","37,379.87","36,599.96","37,379.87","36,207.09","","2.13%"
"08/24/2023","36,599.96","36,883.43","36,887.90","35,569.14","","-0.77%"
"08/23/2023","36,883.43","36,903.91","37,353.14","36,703.69","","-0.05%"
"08/22/2023","36,903.59","37,239.89","37,279.36","36,138.61","","-0.90%"
"08/21/2023","37,239.89","37,227.24","37,289.98","36,978.35","","0.03%"
"08/18/2023","37,227.24","36,871.41","37,474.85","36,865.89","","0.97%"
"08/17/2023","36,871.41","36,157.07","36,871.41","36,017.77","","1.98%"
"08/16/2023","36,157.07","35,796.91","36,601.29","35,685.83","","1.01%"
"08/15/2023","35,796.91","35,896.43","36,467.71","35,734.68","","-0.28%"
"08/11/2023","35,896.43","35,922.65","36,396.32","35,843.30","","-0.07%"
"08/10/2023","35,922.65","36,002.30","36,151.20","35,824.27","","-0.22%"
"08/09/2023","36,002.30","36,372.72","36,486.83","36,002.30","","-1.02%"
"08/08/2023","36,372.72","35,450.87","36,642.21","35,006.73","","2.60%"
"08/07/2023","35,450.87","34,987.30","36,023.56","34,924.41","","1.32%"
"08/04/2023","34,987.30","36,021.36","36,052.73","34,987.30","","-2.87%"
"08/03/2023","36,021.36","34,912.43","36,021.36","34,820.05","","3.18%"
"08/02/2023","34,912.43","34,894.95","35,206.76","34,580.75","","0.05%"
"08/01/2023","34,894.95","35,783.35","36,124.88","34,839.48","","-2.48%"
"07/31/2023","35,783.35","35,528.05","36,515.12","34,772.68","","0.72%"
"07/28/2023","35,528.05","35,582.23","35,784.17","35,486.96","","-0.15%"
"07/27/2023","35,582.23","36,112.46","36,112.46","35,582.23","","-1.47%"
"07/26/2023","36,112.46","36,887.16","36,936.96","35,935.51","","-2.10%"
"07/25/2023","36,887.16","36,767.82","36,959.82","36,593.63","","-0.01%"
"07/21/2023","36,892.34","37,062.79","37,069.84","36,800.26","","-0.46%"
"07/20/2023","37,062.79","37,255.00","37,429.32","36,862.92","","-0.52%"
"07/19/2023","37,255.00","37,503.67","37,556.01","37,220.00","","-0.66%"
"07/18/2023","37,503.67","37,048.29","37,734.98","36,642.20","","1.23%"
"07/17/2023","37,048.29","35,774.17","37,279.97","35,774.17","","3.56%"
"07/14/2023","35,774.17","34,568.94","35,774.17","34,555.27","","3.49%"
"07/13/2023","34,568.94","34,879.49","35,343.76","33,747.14","","-0.89%"
"07/12/2023","34,879.49","34,344.94","35,176.25","34,344.94","","1.56%"
"07/11/2023","34,344.94","34,515.09","34,898.18","34,278.44","","-0.49%"
"07/10/2023","34,515.09","34,387.05","34,905.17","34,286.85","","0.37%"
"07/07/2023","34,387.05","34,387.27","34,931.36","34,215.63","","0.00%"
"07/06/2023","34,387.27","34,923.43","35,242.79","34,285.80","","-1.54%"
"07/04/2023","34,923.43","35,414.36","35,414.36","34,892.21","","-1.39%"
"06/30/2023","35,414.36","34,849.15","35,573.52","34,751.68","","1.62%"
"06/29/2023","34,849.15","33,297.18","34,981.39","33,297.18","","4.66%"
"06/28/2023","33,297.18","32,850.05","33,318.11","32,850.05","","1.36%"
"06/27/2023","32,850.05","33,819.93","33,995.86","32,794.14","","-2.87%"
"06/26/2023","33,819.93","34,071.77","34,292.71","32,857.28","","-0.74%"
"06/23/2023","34,071.77","34,906.26","34,911.72","34,051.71","","-2.39%"
"06/22/2023","34,906.26","34,669.22","35,003.05","34,661.50","","0.68%"
"06/21/2023","34,669.22","34,587.88","35,018.37","33,974.34","","0.24%"
"06/20/2023","34,587.88","34,583.45","34,767.58","34,179.16","","0.01%"
"06/16/2023","34,583.45","34,348.11","34,583.45","34,251.69","","0.69%"
"06/15/2023","34,348.11","34,627.50","34,627.50","34,276.17","","-0.81%"
"06/14/2023","34,627.50","34,697.50","34,779.64","34,590.26","","-0.20%"
"06/13/2023","34,697.50","35,500.36","35,599.97","34,370.34","","-2.26%"
"06/09/2023","35,500.36","34,072.78","35,522.71","34,072.78","","4.19%"
