date,value,reporter,partner
2021-01-01,7638404,Burundi,"All Countries, excluding the IO"
2021-02-01,12081734,Burundi,"All Countries, excluding the IO"
2021-03-01,10180350,Burundi,"All Countries, excluding the IO"
2021-04-01,7613172,Burundi,"All Countries, excluding the IO"
2021-05-01,8006517.000000001,Burundi,"All Countries, excluding the IO"
2021-06-01,7567147,Burundi,"All Countries, excluding the IO"
2021-07-01,6046664,Burundi,"All Countries, excluding the IO"
2021-08-01,10212352,Burundi,"All Countries, excluding the IO"
2021-09-01,7676841,Burundi,"All Countries, excluding the IO"
2021-10-01,12920927,Burundi,"All Countries, excluding the IO"
2021-11-01,49679738,Burundi,"All Countries, excluding the IO"
2021-12-01,10878859,Burundi,"All Countries, excluding the IO"
2022-01-01,7818889,Burundi,"All Countries, excluding the IO"
2022-02-01,32783099,Burundi,"All Countries, excluding the IO"
2022-03-01,10588223,Burundi,"All Countries, excluding the IO"
2022-04-01,9061818,Burundi,"All Countries, excluding the IO"
2022-05-01,7884030,Burundi,"All Countries, excluding the IO"
2022-06-01,7706759,Burundi,"All Countries, excluding the IO"
2022-07-01,6598689,Burundi,"All Countries, excluding the IO"
2022-08-01,10779901,Burundi,"All Countries, excluding the IO"
2022-09-01,11052448,Burundi,"All Countries, excluding the IO"
2022-10-01,16179759,Burundi,"All Countries, excluding the IO"
2022-11-01,46417428,Burundi,"All Countries, excluding the IO"
2022-12-01,15953338,Burundi,"All Countries, excluding the IO"
2023-01-01,14576857,Burundi,"All Countries, excluding the IO"
2023-02-01,6644783,Burundi,"All Countries, excluding the IO"
2023-03-01,10029806,Burundi,"All Countries, excluding the IO"
2023-04-01,3618231,Burundi,"All Countries, excluding the IO"
2023-05-01,3186543,Burundi,"All Countries, excluding the IO"
2023-06-01,2067517,Burundi,"All Countries, excluding the IO"
2019-01-01,1314632143,Uzbekistan,"All Countries, excluding the IO"
2019-02-01,1019208113,Uzbekistan,"All Countries, excluding the IO"
2019-03-01,780426736,Uzbekistan,"All Countries, excluding the IO"
2019-04-01,855734034,Uzbekistan,"All Countries, excluding the IO"
2019-05-01,874734006,Uzbekistan,"All Countries, excluding the IO"
2019-06-01,1694972513,Uzbekistan,"All Countries, excluding the IO"
2019-07-01,2092968371,Uzbekistan,"All Countries, excluding the IO"
2019-08-01,1248327982,Uzbekistan,"All Countries, excluding the IO"
2019-09-01,806992970,Uzbekistan,"All Countries, excluding the IO"
2019-10-01,815322014,Uzbekistan,"All Countries, excluding the IO"
2019-11-01,1183091956,Uzbekistan,"All Countries, excluding the IO"
2019-12-01,1337428069,Uzbekistan,"All Countries, excluding the IO"
2020-01-01,1057828451.0000001,Uzbekistan,"All Countries, excluding the IO"
2020-02-01,1109173465,Uzbekistan,"All Countries, excluding the IO"
2020-03-01,579033983,Uzbekistan,"All Countries, excluding the IO"
2020-04-01,921667657,Uzbekistan,"All Countries, excluding the IO"
2020-05-01,596487662,Uzbekistan,"All Countries, excluding the IO"
2020-06-01,1009249810,Uzbekistan,"All Countries, excluding the IO"
2020-07-01,1829392045,Uzbekistan,"All Countries, excluding the IO"
2020-08-01,3198745299,Uzbekistan,"All Countries, excluding the IO"
2020-09-01,688662994,Uzbekistan,"All Countries, excluding the IO"
2020-10-01,715201992,Uzbekistan,"All Countries, excluding the IO"
2020-11-01,671569048,Uzbekistan,"All Countries, excluding the IO"
2020-12-01,747217963,Uzbekistan,"All Countries, excluding the IO"
2021-01-01,527178672,Uzbekistan,"All Countries, excluding the IO"
2021-02-01,682792454,Uzbekistan,"All Countries, excluding the IO"
2021-03-01,739135272,Uzbekistan,"All Countries, excluding the IO"
2021-04-01,895968390,Uzbekistan,"All Countries, excluding the IO"
2021-05-01,2018067711,Uzbekistan,"All Countries, excluding the IO"
2021-06-01,1061650466,Uzbekistan,"All Countries, excluding the IO"
2021-07-01,852645019,Uzbekistan,"All Countries, excluding the IO"
2021-08-01,886571483,Uzbekistan,"All Countries, excluding the IO"
2021-09-01,821371481,Uzbekistan,"All Countries, excluding the IO"
2021-10-01,1918339982,Uzbekistan,"All Countries, excluding the IO"
2021-11-01,2772916933,Uzbekistan,"All Countries, excluding the IO"
2021-12-01,904441972,Uzbekistan,"All Countries, excluding the IO"
2022-01-01,1240965976,Uzbekistan,"All Countries, excluding the IO"
2022-02-01,2526296501,Uzbekistan,"All Countries, excluding the IO"
2022-03-01,1444306007,Uzbekistan,"All Countries, excluding the IO"
2022-04-01,1032979524.0000001,Uzbekistan,"All Countries, excluding the IO"
2022-05-01,998852490,Uzbekistan,"All Countries, excluding the IO"
2022-06-01,1064762984,Uzbekistan,"All Countries, excluding the IO"
2022-07-01,962857509,Uzbekistan,"All Countries, excluding the IO"
2022-08-01,1015547001,Uzbekistan,"All Countries, excluding the IO"
2022-09-01,938171992,Uzbekistan,"All Countries, excluding the IO"
2022-10-01,981557999,Uzbekistan,"All Countries, excluding the IO"
2022-11-01,1539499049,Uzbekistan,"All Countries, excluding the IO"
2022-12-01,1603852031,Uzbekistan,"All Countries, excluding the IO"
2023-01-01,1809497778,Uzbekistan,"All Countries, excluding the IO"
2023-02-01,793212034,Uzbekistan,"All Countries, excluding the IO"
2023-03-01,2145492642.0000002,Uzbekistan,"All Countries, excluding the IO"
2023-04-01,1566739501,Uzbekistan,"All Countries, excluding the IO"
2023-05-01,2272653947,Uzbekistan,"All Countries, excluding the IO"
2023-06-01,883832957,Uzbekistan,"All Countries, excluding the IO"
2019-01-01,290952045,Zimbabwe,"All Countries, excluding the IO"
2019-02-01,297952757,Zimbabwe,"All Countries, excluding the IO"
2019-03-01,309061721,Zimbabwe,"All Countries, excluding the IO"
2019-04-01,281231832,Zimbabwe,"All Countries, excluding the IO"
2019-05-01,348217059,Zimbabwe,"All Countries, excluding the IO"
2019-06-01,299180276,Zimbabwe,"All Countries, excluding the IO"
2019-07-01,360098724,Zimbabwe,"All Countries, excluding the IO"
2019-08-01,345781845,Zimbabwe,"All Countries, excluding the IO"
2019-09-01,321914260,Zimbabwe,"All Countries, excluding the IO"
2019-10-01,283526906,Zimbabwe,"All Countries, excluding the IO"
2019-11-01,304414102,Zimbabwe,"All Countries, excluding the IO"
2019-12-01,207968147,Zimbabwe,"All Countries, excluding the IO"
2020-01-01,397725354,Zimbabwe,"All Countries, excluding the IO"
2020-02-01,365540289,Zimbabwe,"All Countries, excluding the IO"
2020-03-01,272055800,Zimbabwe,"All Countries, excluding the IO"
2020-04-01,200475840,Zimbabwe,"All Countries, excluding the IO"
2020-05-01,298730277,Zimbabwe,"All Countries, excluding the IO"
2020-06-01,329611122,Zimbabwe,"All Countries, excluding the IO"
2020-07-01,286462058,Zimbabwe,"All Countries, excluding the IO"
2020-08-01,389317142,Zimbabwe,"All Countries, excluding the IO"
2020-09-01,398855117,Zimbabwe,"All Countries, excluding the IO"
2020-10-01,439431769,Zimbabwe,"All Countries, excluding the IO"
2020-11-01,528354454.00000006,Zimbabwe,"All Countries, excluding the IO"
2020-12-01,488252463,Zimbabwe,"All Countries, excluding the IO"
2021-01-01,282902635,Zimbabwe,"All Countries, excluding the IO"
2021-02-01,340994941,Zimbabwe,"All Countries, excluding the IO"
2021-03-01,461840855,Zimbabwe,"All Countries, excluding the IO"
2021-04-01,444692641,Zimbabwe,"All Countries, excluding the IO"
2021-05-01,487133817,Zimbabwe,"All Countries, excluding the IO"
2021-06-01,502674044,Zimbabwe,"All Countries, excluding the IO"
2021-07-01,629899249,Zimbabwe,"All Countries, excluding the IO"
2021-08-01,597278591,Zimbabwe,"All Countries, excluding the IO"
2021-09-01,514437150,Zimbabwe,"All Countries, excluding the IO"
2021-10-01,535498780,Zimbabwe,"All Countries, excluding the IO"
2021-11-01,647599916,Zimbabwe,"All Countries, excluding the IO"
2021-12-01,591234686,Zimbabwe,"All Countries, excluding the IO"
2022-01-01,543913448,Zimbabwe,"All Countries, excluding the IO"
2022-02-01,437979537,Zimbabwe,"All Countries, excluding the IO"
2022-03-01,557574620,Zimbabwe,"All Countries, excluding the IO"
2022-04-01,587265948,Zimbabwe,"All Countries, excluding the IO"
2022-05-01,513149727,Zimbabwe,"All Countries, excluding the IO"
2022-06-01,540952371,Zimbabwe,"All Countries, excluding the IO"
2022-07-01,548362737,Zimbabwe,"All Countries, excluding the IO"
2022-08-01,493585346,Zimbabwe,"All Countries, excluding the IO"
2022-09-01,552298847,Zimbabwe,"All Countries, excluding the IO"
2022-10-01,502294837,Zimbabwe,"All Countries, excluding the IO"
2022-11-01,674625300,Zimbabwe,"All Countries, excluding the IO"
2022-12-01,633476623,Zimbabwe,"All Countries, excluding the IO"
2023-01-01,427816324,Zimbabwe,"All Countries, excluding the IO"
2023-02-01,435876104,Zimbabwe,"All Countries, excluding the IO"
2023-03-01,515304265,Zimbabwe,"All Countries, excluding the IO"
2023-04-01,555548445,Zimbabwe,"All Countries, excluding the IO"
2023-05-01,654210325,Zimbabwe,"All Countries, excluding the IO"
2023-06-01,641292144,Zimbabwe,"All Countries, excluding the IO"
2019-01-01,15316546345,Ireland,"All Countries, excluding the IO"
2019-02-01,14006378608,Ireland,"All Countries, excluding the IO"
2019-03-01,13121484484,Ireland,"All Countries, excluding the IO"
2019-04-01,14195830807,Ireland,"All Countries, excluding the IO"
2019-05-01,15207373966,Ireland,"All Countries, excluding the IO"
2019-06-01,13525320260,Ireland,"All Countries, excluding the IO"
2019-07-01,14901211820,Ireland,"All Countries, excluding the IO"
2019-08-01,12973784089,Ireland,"All Countries, excluding the IO"
2019-09-01,13671890671,Ireland,"All Countries, excluding the IO"
2019-10-01,15715603979,Ireland,"All Countries, excluding the IO"
2019-11-01,14100791883,Ireland,"All Countries, excluding the IO"
2019-12-01,12888836012,Ireland,"All Countries, excluding the IO"
2020-01-01,16213287533,Ireland,"All Countries, excluding the IO"
2020-02-01,12280942485,Ireland,"All Countries, excluding the IO"
2020-03-01,19110814798,Ireland,"All Countries, excluding the IO"
2020-04-01,11906756234,Ireland,"All Countries, excluding the IO"
2020-05-01,13701217977,Ireland,"All Countries, excluding the IO"
2020-06-01,14926961758,Ireland,"All Countries, excluding the IO"
2020-07-01,15141845520,Ireland,"All Countries, excluding the IO"
2020-08-01,14906047709,Ireland,"All Countries, excluding the IO"
2020-09-01,16124742748,Ireland,"All Countries, excluding the IO"
2020-10-01,13948829935,Ireland,"All Countries, excluding the IO"
2020-11-01,17194419126,Ireland,"All Countries, excluding the IO"
2020-12-01,14648568778,Ireland,"All Countries, excluding the IO"
2021-01-01,15750726075,Ireland,"All Countries, excluding the IO"
2021-02-01,14505055099,Ireland,"All Countries, excluding the IO"
2021-03-01,16981664204,Ireland,"All Countries, excluding the IO"
2021-04-01,14162556672,Ireland,"All Countries, excluding the IO"
2021-05-01,15856141287,Ireland,"All Countries, excluding the IO"
2021-06-01,17396638155,Ireland,"All Countries, excluding the IO"
2021-07-01,15132693451,Ireland,"All Countries, excluding the IO"
2021-08-01,15128555555,Ireland,"All Countries, excluding the IO"
2021-09-01,16943410769.999998,Ireland,"All Countries, excluding the IO"
2021-10-01,17037650268.000002,Ireland,"All Countries, excluding the IO"
2021-11-01,17361528721,Ireland,"All Countries, excluding the IO"
2021-12-01,14401495009,Ireland,"All Countries, excluding the IO"
2022-01-01,17660978426,Ireland,"All Countries, excluding the IO"
2022-02-01,17282837452,Ireland,"All Countries, excluding the IO"
2022-03-01,21675322042,Ireland,"All Countries, excluding the IO"
2022-04-01,17964519930,Ireland,"All Countries, excluding the IO"
2022-05-01,18349518361,Ireland,"All Countries, excluding the IO"
2022-06-01,18022786570,Ireland,"All Countries, excluding the IO"
2022-07-01,14625511533,Ireland,"All Countries, excluding the IO"
2022-08-01,19149503355,Ireland,"All Countries, excluding the IO"
2022-09-01,18853728657,Ireland,"All Countries, excluding the IO"
2022-10-01,16842026754.999998,Ireland,"All Countries, excluding the IO"
2022-11-01,16782595545,Ireland,"All Countries, excluding the IO"
2022-12-01,15304915489,Ireland,"All Countries, excluding the IO"
2023-01-01,16429866300.999998,Ireland,"All Countries, excluding the IO"
2023-02-01,17449736740,Ireland,"All Countries, excluding the IO"
2023-03-01,19860097851,Ireland,"All Countries, excluding the IO"
2023-04-01,16349723497,Ireland,"All Countries, excluding the IO"
2023-05-01,17784097030,Ireland,"All Countries, excluding the IO"
2023-06-01,20694092239,Ireland,"All Countries, excluding the IO"
2019-01-01,119562378,Guyana,"All Countries, excluding the IO"
2019-02-01,99307606,Guyana,"All Countries, excluding the IO"
2019-03-01,124626344,Guyana,"All Countries, excluding the IO"
2019-04-01,103967504,Guyana,"All Countries, excluding the IO"
2019-05-01,139494297,Guyana,"All Countries, excluding the IO"
2019-06-01,128860267.99999999,Guyana,"All Countries, excluding the IO"
2019-07-01,128334240.99999999,Guyana,"All Countries, excluding the IO"
2019-08-01,110829508,Guyana,"All Countries, excluding the IO"
2019-09-01,114092072,Guyana,"All Countries, excluding the IO"
2019-10-01,150749562,Guyana,"All Countries, excluding the IO"
2019-11-01,114248958,Guyana,"All Countries, excluding the IO"
2019-12-01,141549435,Guyana,"All Countries, excluding the IO"
2020-01-01,192249364,Guyana,"All Countries, excluding the IO"
2020-02-01,309775709,Guyana,"All Countries, excluding the IO"
2020-03-01,247248892,Guyana,"All Countries, excluding the IO"
2020-04-01,184608190,Guyana,"All Countries, excluding the IO"
2020-05-01,161073421,Guyana,"All Countries, excluding the IO"
2020-06-01,160945157,Guyana,"All Countries, excluding the IO"
2020-07-01,134000847,Guyana,"All Countries, excluding the IO"
2020-08-01,454775684,Guyana,"All Countries, excluding the IO"
2020-09-01,177931944,Guyana,"All Countries, excluding the IO"
2020-10-01,241631598,Guyana,"All Countries, excluding the IO"
2020-11-01,188775489,Guyana,"All Countries, excluding the IO"
2020-12-01,299290888,Guyana,"All Countries, excluding the IO"
2021-01-01,300985293,Guyana,"All Countries, excluding the IO"
2021-02-01,349785173,Guyana,"All Countries, excluding the IO"
2021-03-01,463975343,Guyana,"All Countries, excluding the IO"
2021-04-01,314731959,Guyana,"All Countries, excluding the IO"
2021-05-01,271697476,Guyana,"All Countries, excluding the IO"
2021-06-01,336046294,Guyana,"All Countries, excluding the IO"
2021-07-01,438766695,Guyana,"All Countries, excluding the IO"
2021-08-01,293077144,Guyana,"All Countries, excluding the IO"
2021-09-01,341383441,Guyana,"All Countries, excluding the IO"
2021-10-01,436373402,Guyana,"All Countries, excluding the IO"
2021-11-01,389740294,Guyana,"All Countries, excluding the IO"
2021-12-01,320137980,Guyana,"All Countries, excluding the IO"
2022-01-01,445067683,Guyana,"All Countries, excluding the IO"
2022-02-01,280094200,Guyana,"All Countries, excluding the IO"
2022-03-01,191207041,Guyana,"All Countries, excluding the IO"
2022-04-01,197930532,Guyana,"All Countries, excluding the IO"
2022-05-01,455582819,Guyana,"All Countries, excluding the IO"
2022-06-01,1150286358,Guyana,"All Countries, excluding the IO"
2022-07-01,665439335,Guyana,"All Countries, excluding the IO"
2022-08-01,1209421429,Guyana,"All Countries, excluding the IO"
2022-09-01,1020487350,Guyana,"All Countries, excluding the IO"
