date,value,reporter,partner
2021-01-01,40365307926,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-02-01,44935515998,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-03-01,53234709439,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-04-01,55970181848,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-05-01,53852815870,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-06-01,61394375852,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-07-01,62553834300,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-08-01,62615558175,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-09-01,63567528913,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-10-01,68230990139.99999,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-11-01,72525654861,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-12-01,79081946856,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-01-01,68221487147.00001,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-02-01,72972947404,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-03-01,73040489625,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-04-01,67534994259,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-05-01,69744602851,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-06-01,74503169679,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-07-01,65638118153,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-08-01,69511922433,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-09-01,68451983272,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-10-01,66159343310,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-11-01,64212168830,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-12-01,74681104222,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-01-01,52893759344,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-02-01,47988295348,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-03-01,62041545715,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-04-01,53184826607,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-05-01,59155507361,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-06-01,51091402307,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-07-01,50791909658,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-08-01,54468511555,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-09-01,56750914780,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-10-01,53814990907,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-11-01,53679714443,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-12-01,58936970850,Community of Independent States (CIS),"All Countries, excluding the IO"
2024-01-01,55473198118,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-01-01,7639554,Burundi,"All Countries, excluding the IO"
2021-02-01,12035633,Burundi,"All Countries, excluding the IO"
2021-03-01,10157617,Burundi,"All Countries, excluding the IO"
2021-04-01,7638812,Burundi,"All Countries, excluding the IO"
2021-05-01,8371864,Burundi,"All Countries, excluding the IO"
2021-06-01,6705477,Burundi,"All Countries, excluding the IO"
2021-07-01,6232869,Burundi,"All Countries, excluding the IO"
2021-08-01,10622327,Burundi,"All Countries, excluding the IO"
2021-09-01,5815270,Burundi,"All Countries, excluding the IO"
2021-10-01,11473545,Burundi,"All Countries, excluding the IO"
2021-11-01,51875298,Burundi,"All Countries, excluding the IO"
2021-12-01,10991731,Burundi,"All Countries, excluding the IO"
2022-01-01,7158026,Burundi,"All Countries, excluding the IO"
2022-02-01,36201094,Burundi,"All Countries, excluding the IO"
2022-03-01,11998050,Burundi,"All Countries, excluding the IO"
2022-04-01,8728758,Burundi,"All Countries, excluding the IO"
2022-05-01,7888134,Burundi,"All Countries, excluding the IO"
2022-06-01,8048985,Burundi,"All Countries, excluding the IO"
2022-07-01,7126429,Burundi,"All Countries, excluding the IO"
2022-08-01,11729789,Burundi,"All Countries, excluding the IO"
2022-09-01,12407194,Burundi,"All Countries, excluding the IO"
2022-10-01,17190044,Burundi,"All Countries, excluding the IO"
2022-11-01,46189305,Burundi,"All Countries, excluding the IO"
2022-12-01,16185702,Burundi,"All Countries, excluding the IO"
2023-01-01,16409243,Burundi,"All Countries, excluding the IO"
2023-02-01,7482632,Burundi,"All Countries, excluding the IO"
2023-03-01,17686018,Burundi,"All Countries, excluding the IO"
2023-04-01,13297852,Burundi,"All Countries, excluding the IO"
2023-05-01,10738818,Burundi,"All Countries, excluding the IO"
2023-06-01,11127540,Burundi,"All Countries, excluding the IO"
2023-07-01,9104937,Burundi,"All Countries, excluding the IO"
2023-08-01,9605277,Burundi,"All Countries, excluding the IO"
2023-09-01,40880435,Burundi,"All Countries, excluding the IO"
2023-10-01,10725879,Burundi,"All Countries, excluding the IO"
2023-11-01,9881062,Burundi,"All Countries, excluding the IO"
2023-12-01,13904057,Burundi,"All Countries, excluding the IO"
2024-01-01,8819219,Burundi,"All Countries, excluding the IO"
2021-01-01,527178672,Uzbekistan,"All Countries, excluding the IO"
2021-02-01,682792454,Uzbekistan,"All Countries, excluding the IO"
2021-03-01,739135272,Uzbekistan,"All Countries, excluding the IO"
2021-04-01,895968390,Uzbekistan,"All Countries, excluding the IO"
2021-05-01,2018067711,Uzbekistan,"All Countries, excluding the IO"
2021-06-01,1061650466,Uzbekistan,"All Countries, excluding the IO"
2021-07-01,852645019,Uzbekistan,"All Countries, excluding the IO"
2021-08-01,886571483,Uzbekistan,"All Countries, excluding the IO"
2021-09-01,821371481,Uzbekistan,"All Countries, excluding the IO"
2021-10-01,1918339982,Uzbekistan,"All Countries, excluding the IO"
2021-11-01,2772916933,Uzbekistan,"All Countries, excluding the IO"
2021-12-01,904441972,Uzbekistan,"All Countries, excluding the IO"
2022-01-01,1240965976,Uzbekistan,"All Countries, excluding the IO"
2022-02-01,2526296501,Uzbekistan,"All Countries, excluding the IO"
2022-03-01,1444306007,Uzbekistan,"All Countries, excluding the IO"
2022-04-01,1032979524.0000001,Uzbekistan,"All Countries, excluding the IO"
2022-05-01,998852490,Uzbekistan,"All Countries, excluding the IO"
2022-06-01,1064762984,Uzbekistan,"All Countries, excluding the IO"
2022-07-01,962857509,Uzbekistan,"All Countries, excluding the IO"
2022-08-01,1015547001,Uzbekistan,"All Countries, excluding the IO"
2022-09-01,938171992,Uzbekistan,"All Countries, excluding the IO"
2022-10-01,981557999,Uzbekistan,"All Countries, excluding the IO"
2022-11-01,1539499049,Uzbekistan,"All Countries, excluding the IO"
2022-12-01,1603852031,Uzbekistan,"All Countries, excluding the IO"
2023-01-01,1809497755,Uzbekistan,"All Countries, excluding the IO"
2023-02-01,793212041,Uzbekistan,"All Countries, excluding the IO"
2023-03-01,2145492725,Uzbekistan,"All Countries, excluding the IO"
2023-04-01,1566739552,Uzbekistan,"All Countries, excluding the IO"
2023-05-01,2272654019,Uzbekistan,"All Countries, excluding the IO"
2023-06-01,883832938,Uzbekistan,"All Countries, excluding the IO"
2023-07-01,2546958106,Uzbekistan,"All Countries, excluding the IO"
2023-08-01,987855964,Uzbekistan,"All Countries, excluding the IO"
2023-09-01,864701006,Uzbekistan,"All Countries, excluding the IO"
2023-10-01,2179330988,Uzbekistan,"All Countries, excluding the IO"
2023-11-01,1866397725,Uzbekistan,"All Countries, excluding the IO"
2023-12-01,1775145499,Uzbekistan,"All Countries, excluding the IO"
2024-01-01,1488458030,Uzbekistan,"All Countries, excluding the IO"
2021-01-01,282902635,Zimbabwe,"All Countries, excluding the IO"
2021-02-01,340994941,Zimbabwe,"All Countries, excluding the IO"
2021-03-01,461840855,Zimbabwe,"All Countries, excluding the IO"
2021-04-01,444692641,Zimbabwe,"All Countries, excluding the IO"
2021-05-01,487133817,Zimbabwe,"All Countries, excluding the IO"
2021-06-01,502674044,Zimbabwe,"All Countries, excluding the IO"
2021-07-01,629899249,Zimbabwe,"All Countries, excluding the IO"
2021-08-01,597278591,Zimbabwe,"All Countries, excluding the IO"
2021-09-01,514437150,Zimbabwe,"All Countries, excluding the IO"
2021-10-01,535498780,Zimbabwe,"All Countries, excluding the IO"
2021-11-01,647599916,Zimbabwe,"All Countries, excluding the IO"
2021-12-01,591234686,Zimbabwe,"All Countries, excluding the IO"
2022-01-01,543913448,Zimbabwe,"All Countries, excluding the IO"
2022-02-01,437979537,Zimbabwe,"All Countries, excluding the IO"
2022-03-01,557574620,Zimbabwe,"All Countries, excluding the IO"
2022-04-01,587265948,Zimbabwe,"All Countries, excluding the IO"
2022-05-01,513149727,Zimbabwe,"All Countries, excluding the IO"
2022-06-01,540952371,Zimbabwe,"All Countries, excluding the IO"
2022-07-01,548362737,Zimbabwe,"All Countries, excluding the IO"
2022-08-01,493585346,Zimbabwe,"All Countries, excluding the IO"
2022-09-01,552298847,Zimbabwe,"All Countries, excluding the IO"
2022-10-01,502294837,Zimbabwe,"All Countries, excluding the IO"
2022-11-01,674625300,Zimbabwe,"All Countries, excluding the IO"
2022-12-01,633476623,Zimbabwe,"All Countries, excluding the IO"
2023-01-01,427693314,Zimbabwe,"All Countries, excluding the IO"
