,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE,Obs_24_@TIME_PERIOD,Obs_24_@OBS_VALUE,Obs_25_@TIME_PERIOD,Obs_25_@OBS_VALUE,Obs_26_@TIME_PERIOD,Obs_26_@OBS_VALUE,Obs_27_@TIME_PERIOD,Obs_27_@OBS_VALUE,Obs_28_@TIME_PERIOD,Obs_28_@OBS_VALUE,Obs_29_@TIME_PERIOD,Obs_29_@OBS_VALUE,Obs_30_@TIME_PERIOD,Obs_30_@OBS_VALUE,Obs_31_@TIME_PERIOD,Obs_31_@OBS_VALUE,Obs_32_@TIME_PERIOD,Obs_32_@OBS_VALUE,Obs_33_@TIME_PERIOD,Obs_33_@OBS_VALUE,Obs_34_@TIME_PERIOD,Obs_34_@OBS_VALUE,Obs_35_@TIME_PERIOD,Obs_35_@OBS_VALUE
16,M,1C_080,TXG_FOB_USD,W00,6,P1M,2021-01,101296.584117,2021-02,104031.554726,2021-03,119184.9955,2021-04,122391.006898,2021-05,123339.136992,2021-06,134706.228154,2021-07,142344.177927,2021-08,140687.535205,2021-09,148302.105593,2021-10,153817.725047,2021-11,161964.681136,2021-12,175183.679465,2022-01,161373.238668,2022-02,163915.997037,2022-03,198732.352244,2022-04,190730.853127,2022-05,197685.310883,2022-06,206738.050343,2022-07,190760.450022,2022-08,195905.591113,2022-09,183479.833529,2022-10,176230.315896,2022-11,172189.293283,2022-12,181171.843144,2023-01,153388.052886,2023-02,142969.967277,2023-03,161856.42525,2023-04,146567.404408,2023-05,149816.052969,2023-06,137184.810334,2023-07,138817.26894,2023-08,154902.37324,2023-09,157329.455504,2023-10,158212.854153,2023-11,153415.158122,2023-12,156209.505737
17,M,SO,TXG_FOB_USD,W00,6,P1M,2021-01,27.618914,2021-02,25.987676,2021-03,32.422243,2021-04,35.694582,2021-05,31.626028,2021-06,33.861159,2021-07,39.681298,2021-08,27.720413,2021-09,24.585584,2021-10,30.487487,2021-11,30.102557,2021-12,36.110145,2022-01,39.721003,2022-02,35.564218,2022-03,41.642851,2022-04,43.468363,2022-05,49.97499,2022-06,138.019133,2022-07,66.153546,2022-08,43.03757,2022-09,46.097043,2022-10,46.951489,2022-11,44.334395,2022-12,47.396924,2023-01,52.160641,2023-02,51.700213,2023-03,62.910959,2023-04,46.268769,2023-05,76.69042,2023-06,176.571653,2023-07,63.093646,2023-08,57.0476,2023-09,51.744258,2023-10,66.509195,2023-11,63.712501,2023-12,64.850148
18,M,MD,TXG_FOB_USD,W00,6,P1M,2021-01,198.436636,2021-02,227.02272,2021-03,259.243907,2021-04,218.261889,2021-05,201.705294,2021-06,226.794075,2021-07,240.718482,2021-08,236.19514,2021-09,294.614659,2021-10,351.787764,2021-11,363.217098,2021-12,324.982185,2022-01,330.357235,2022-02,336.464326,2022-03,395.82879,2022-04,396.338083,2022-05,415.966074,2022-06,416.43454,2022-07,338.224351,2022-08,329.41641,2022-09,318.793667,2022-10,351.929209,2022-11,355.414108,2022-12,346.97866,2023-01,331.097912,2023-02,356.043673,2023-03,384.903526,2023-04,317.381813,2023-05,336.527063,2023-06,316.652859,2023-07,304.184974,2023-08,321.552981,2023-09,348.068833,2023-10,341.789117,2023-11,379.108156,2023-12,311.305896
19,M,DK,TXG_FOB_USD,W00,6,P1M,2021-01,9482.355431,2021-02,9599.426346,2021-03,11638.528394,2021-04,9927.895452,2021-05,10618.623184,2021-06,11500.39149,2021-07,10081.857871,2021-08,9154.320924,2021-09,10900.382849,2021-10,10774.553519,2021-11,11772.949825,2021-12,10475.866523,2022-01,10335.29723,2022-02,10596.141612,2022-03,12829.643248,2022-04,10146.067127,2022-05,10957.327374,2022-06,11062.072154,2022-07,10301.61961,2022-08,10355.956994,2022-09,11222.686683,2022-10,10755.821703,2022-11,11734.174429,2022-12,11472.98475,2023-01,11947.234435,2023-02,10782.459807,2023-03,12192.726274,2023-04,10190.782042,2023-05,11344.458917,2023-06,12066.947649,2023-07,10882.459422,2023-08,11282.944819,2023-09,11239.141524,2023-10,11708.759416,2023-11,12090.112516,2023-12,10768.778056
20,M,CL,TXG_FOB_USD,W00,6,P1M,2021-01,7177.343029,2021-02,7294.454294,2021-03,7760.522434,2021-04,8160.164818,2021-05,7620.755308,2021-06,7452.819866,2021-07,7942.937389,2021-08,7821.800937,2021-09,7428.802616,2021-10,7767.756514,2021-11,8413.956049,2021-12,9036.711459,2022-01,8562.174464,2022-02,7301.397759,2022-03,8672.600934,2022-04,8026.584486,2022-05,8897.702434,2022-06,8330.295707,2022-07,7946.688801,2022-08,7877.598757,2022-09,7569.077534,2022-10,7597.805356,2022-11,7812.810264,2022-12,8894.359477,2023-01,8901.198211,2023-02,7804.097038,2023-03,9362.079269,2023-04,7479.994351,2023-05,7845.529274,2023-06,7853.158865,2023-07,7184.236604,2023-08,7893.024224,2023-09,7191.254498,2023-10,7725.694256,2023-11,7730.787403,2023-12,7952.974489
21,M,FR,TXG_FOB_USD,W00,6,P1M,2021-01,43424.326422,2021-02,45150.264316,2021-03,52519.88204,2021-04,49407.499687,2021-05,45775.611302,2021-06,53863.150568,2021-07,48139.740087,2021-08,40933.998472,2021-09,50377.007052,2021-10,51786.291566,2021-11,51672.547036,2021-12,51652.700283,2022-01,50709.160076,2022-02,50407.924414,2022-03,56465.254838,2022-04,49954.184334,2022-05,51500.063613,2022-06,54952.257286,2022-07,48261.699943,2022-08,44724.441058,2022-09,52964.718164,2022-10,51517.95924,2022-11,53385.064003,2022-12,55304.457329,2023-01,51951.835029,2023-02,53238.016838,2023-03,59614.623498,2023-04,51101.769944,2023-05,55654.010817,2023-06,60845.237009,2023-07,54423.995195,2023-08,45909.489044,2023-09,51642.610403,2023-10,55373.437029,2023-11,56681.978492,2023-12,51695.357734
22,M,LC,TXG_FOB_USD,W00,6,P1M,2021-01,5.831575,2021-02,6.653812,2021-03,9.434436,2021-04,8.227201,2021-05,6.983295,2021-06,10.054807,2021-07,56.193956,2021-08,9.073476,2021-09,10.063934,2021-10,19.327214,2021-11,9.225185,2021-12,9.830133,2022-01,9.834522,2022-02,7.777033,2022-03,8.438677,2022-04,10.505228,2022-05,10.49508,2022-06,8.943954,2022-07,8.822753,2022-08,7.931455,2022-09,7.498401,2022-10,7.425887,2022-11,13.063657,2022-12,8.83987,2023-01,5.560197,2023-02,7.594952,2023-03,7.55432,2023-04,7.233793,2023-05,7.849398,2023-06,5.836811,2023-07,8.893677,2023-08,12.15414,2023-09,5.641097,2023-10,10.515429,2023-11,12.360251,2023-12,10.995924
23,M,X88,TXG_FOB_USD,W00,6,P1M,2021-01,183.754845,2021-02,129.528137,2021-03,243.663753,2021-04,146.703786,2021-05,239.891514,2021-06,260.053117,2021-07,180.875701,2021-08,218.070457,2021-09,185.52521,2021-10,256.2418,2021-11,227.301873,2021-12,193.930141,2022-01,261.205719,2022-02,159.199134,2022-03,215.478605,2022-04,262.397013,2022-05,254.075564,2022-06,271.07152,2022-07,187.213342,2022-08,240.724674,2022-09,246.02542,2022-10,225.727826,2022-11,208.255575,2022-12,200.471681,2023-01,257.391604,2023-02,224.906477,2023-03,171.033691,2023-04,246.462547,2023-05,247.222749,2023-06,225.87202,2023-07,202.562995,2023-08,205.566733,2023-09,195.481592,2023-10,183.451981,2023-11,189.930434,2023-12,197.412115
24,M,KP,TXG_FOB_USD,W00,6,P1M,2021-01,6.813152,2021-02,7.428504,2021-03,12.056281,2021-04,8.73736,2021-05,14.26306,2021-06,8.852058,2021-07,12.772593,2021-08,12.723874,2021-09,22.587844,2021-10,20.471193,2021-11,33.720257,2021-12,24.023468,2022-01,23.280843,2022-02,8.019122,2022-03,11.107036,2022-04,13.364244,2022-05,17.768349,2022-06,14.089646,2022-07,22.117501,2022-08,27.863168,2022-09,25.320594,2022-10,30.19552,2022-11,23.701819,2022-12,29.231412,2023-01,38.181464,2023-02,22.42981,2023-03,30.403922,2023-04,42.703821,2023-05,34.73293,2023-06,38.207769,2023-07,33.510206,2023-08,37.016932,2023-09,36.121523,2023-10,33.911587,2023-11,36.271889,2023-12,35.880884
25,M,TJ,TXG_FOB_USD,W00,6,P1M,2021-01,47.392858,2021-02,66.852462,2021-03,72.620073,2021-04,434.367706,2021-05,85.137714,2021-06,91.314808,2021-07,54.355329,2021-08,104.810111,2021-09,123.810817,2021-10,113.441973,2021-11,129.795998,2021-12,153.573174,2022-01,111.435084,2022-02,120.084265,2022-03,154.278505,2022-04,234.772547,2022-05,192.155408,2022-06,172.818097,2022-07,135.992768,2022-08,98.211567,2022-09,116.440193,2022-10,117.169504,2022-11,91.945966,2022-12,126.955413,2023-01,98.447605,2023-02,112.731789,2023-03,105.021535,2023-04,129.173015,2023-05,84.054737,2023-06,100.825569,2023-07,91.385642,2023-08,63.355831,2023-09,97.518894,2023-10,233.268213,2023-11,105.976595,2023-12,124.748549
