date,value,reporter,partner
2020-01-01,608728956741,Middle East,"All Countries, excluding the IO"
2021-01-01,931832970860,Middle East,"All Countries, excluding the IO"
2022-01-01,1298438318851,Middle East,"All Countries, excluding the IO"
2020-01-01,58952633671,Iraq,"All Countries, excluding the IO"
2021-01-01,81242198201,Iraq,"All Countries, excluding the IO"
2022-01-01,125519266562,Iraq,"All Countries, excluding the IO"
2020-01-01,70718266875,Romania,"All Countries, excluding the IO"
2021-01-01,87388114896,Romania,"All Countries, excluding the IO"
2022-01-01,96380379919,Romania,"All Countries, excluding the IO"
2020-01-01,1426658159,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2021-01-01,1412707743,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2022-01-01,1582117115,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2020-01-01,488636774411,France,"All Countries, excluding the IO"
2021-01-01,585020854259,France,"All Countries, excluding the IO"
2022-01-01,608427252827,France,"All Countries, excluding the IO"
2020-01-01,155495623803,Sweden,"All Countries, excluding the IO"
2021-01-01,189515440204,Sweden,"All Countries, excluding the IO"
2022-01-01,196469644467,Sweden,"All Countries, excluding the IO"
2020-01-01,11624672444,Costa Rica,"All Countries, excluding the IO"
2021-01-01,14747546463,Costa Rica,"All Countries, excluding the IO"
2022-01-01,15183244716,Costa Rica,"All Countries, excluding the IO"
2020-01-01,4394811685,Zimbabwe,"All Countries, excluding the IO"
2021-01-01,6036187305,Zimbabwe,"All Countries, excluding the IO"
2022-01-01,6585479341,Zimbabwe,"All Countries, excluding the IO"
2020-01-01,413623782,Montenegro,"All Countries, excluding the IO"
2021-01-01,505755718,Montenegro,"All Countries, excluding the IO"
2022-01-01,742312919,Montenegro,"All Countries, excluding the IO"
2020-01-01,3927960422,Senegal,"All Countries, excluding the IO"
2021-01-01,5194857137,Senegal,"All Countries, excluding the IO"
2022-01-01,5709543957,Senegal,"All Countries, excluding the IO"
2020-01-01,2574220302,Benin,"All Countries, excluding the IO"
2021-01-01,3297998956,Benin,"All Countries, excluding the IO"
2022-01-01,4316033707,Benin,"All Countries, excluding the IO"
2020-01-01,3953494367579,Developing Asia (IMF),"All Countries, excluding the IO"
2021-01-01,5099609434461,Developing Asia (IMF),"All Countries, excluding the IO"
2022-01-01,5598374109900,Developing Asia (IMF),"All Countries, excluding the IO"
2020-01-01,1123293190548,Emerging and Developing Europe,"All Countries, excluding the IO"
2021-01-01,1486388642154,Emerging and Developing Europe,"All Countries, excluding the IO"
2022-01-01,1508822443775,Emerging and Developing Europe,"All Countries, excluding the IO"
2020-01-01,12528145128,Cote d`Ivoire,"All Countries, excluding the IO"
2021-01-01,15494335746,Cote d`Ivoire,"All Countries, excluding the IO"
2022-01-01,16708529940,Cote d`Ivoire,"All Countries, excluding the IO"
2020-01-01,991683361,Macao,"All Countries, excluding the IO"
2021-01-01,1251956007,Macao,"All Countries, excluding the IO"
2022-01-01,1232378609,Macao,"All Countries, excluding the IO"
2020-01-01,3465561685,Mozambique,"All Countries, excluding the IO"
2021-01-01,5122566791,Mozambique,"All Countries, excluding the IO"
2022-01-01,7395327350,Mozambique,"All Countries, excluding the IO"
2020-01-01,21043756237,Angola,"All Countries, excluding the IO"
2021-01-01,35116206221,Angola,"All Countries, excluding the IO"
2022-01-01,51443394806,Angola,"All Countries, excluding the IO"
2020-01-01,6332920883,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2021-01-01,7898507259,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2022-01-01,9582742525,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2020-01-01,73484581265,Chile,"All Countries, excluding the IO"
2021-01-01,93878024713,Chile,"All Countries, excluding the IO"
2022-01-01,97489095973,Chile,"All Countries, excluding the IO"
2020-01-01,162799165,Maldives,"All Countries, excluding the IO"
2021-01-01,151281170,Maldives,"All Countries, excluding the IO"
2022-01-01,159010757,Maldives,"All Countries, excluding the IO"
2020-01-01,13740817500,Azerbaijan,"All Countries, excluding the IO"
2021-01-01,22208004300,Azerbaijan,"All Countries, excluding the IO"
2022-01-01,38146434200,Azerbaijan,"All Countries, excluding the IO"
2020-01-01,4522502714,Iceland,"All Countries, excluding the IO"
2021-01-01,6054132505,Iceland,"All Countries, excluding the IO"
2022-01-01,7402719309,Iceland,"All Countries, excluding the IO"
2020-01-01,29179441000,Belarus,"All Countries, excluding the IO"
2021-01-01,39986971100,Belarus,"All Countries, excluding the IO"
2022-01-01,34108488636,Belarus,"All Countries, excluding the IO"
2020-01-01,4040047852,Gabon,"All Countries, excluding the IO"
2021-01-01,5171926104,Gabon,"All Countries, excluding the IO"
2022-01-01,7427491977,Gabon,"All Countries, excluding the IO"
2020-01-01,2598014477690,China,"All Countries, excluding the IO"
2021-01-01,3368216972663,China,"All Countries, excluding the IO"
2022-01-01,3604481490750,China,"All Countries, excluding the IO"
2020-01-01,2484791709,"Moldova, Republic of","All Countries, excluding the IO"
2021-01-01,3142979849,"Moldova, Republic of","All Countries, excluding the IO"
2022-01-01,4332145453,"Moldova, Republic of","All Countries, excluding the IO"
2020-01-01,885984099,Nepal,"All Countries, excluding the IO"
2021-01-01,1724342954,Nepal,"All Countries, excluding the IO"
2022-01-01,1364843892,Nepal,"All Countries, excluding the IO"
2020-01-01,10016457529,Papua New Guinea,"All Countries, excluding the IO"
2021-01-01,11490548347,Papua New Guinea,"All Countries, excluding the IO"
2022-01-01,16429718979.000002,Papua New Guinea,"All Countries, excluding the IO"
2020-01-01,41504509495,Nigeria,"All Countries, excluding the IO"
2021-01-01,57459696350,Nigeria,"All Countries, excluding the IO"
2022-01-01,65927832159,Nigeria,"All Countries, excluding the IO"
2020-01-01,2716277582,Albania,"All Countries, excluding the IO"
2021-01-01,3681100753,Albania,"All Countries, excluding the IO"
2022-01-01,4310142456,Albania,"All Countries, excluding the IO"
2020-01-01,6633236159,"North Macedonia, Republic of","All Countries, excluding the IO"
2021-01-01,8188220682,"North Macedonia, Republic of","All Countries, excluding the IO"
2022-01-01,8729356237,"North Macedonia, Republic of","All Countries, excluding the IO"
2020-01-01,2850018503,Mauritania,"All Countries, excluding the IO"
2021-01-01,3294378371,Mauritania,"All Countries, excluding the IO"
2022-01-01,3346063985,Mauritania,"All Countries, excluding the IO"
2020-01-01,6152491089,Bosnia and Herzegovina,"All Countries, excluding the IO"
2021-01-01,8614079101,Bosnia and Herzegovina,"All Countries, excluding the IO"
2022-01-01,9678192326,Bosnia and Herzegovina,"All Countries, excluding the IO"
2020-01-01,29032534,Gambia,"All Countries, excluding the IO"
2021-01-01,29557360,Gambia,"All Countries, excluding the IO"
